1;Piemonte;25387,07;4379512;1201;8
2;Valle d'Aosta;3260,9;127844;74;1
3;Lombardia;23863,65;9783720;1524;12
4;Trentino-Alto Adige;13605,5;1037264;293;2
5;Veneto;18407,42;4881593;576;7
6;Friuli-Venezia Giulia;7862,3;1221901;216;4
7;Liguria;5416,21;1565127;235;4
8;Emilia-Romagna;22452,78;4367138;333;9
9;Toscana;22987,04;3676351;276;10
10;Umbria;8464,33;886239;92;2
11;Marche;9401,38;1525945;229;5
12;Lazio;17232,29;5557276;378;5
13;Abruzzo;10831,84;1312507;305;4
14;Molise;4460,65;313341;136;2
15;Campania;13670,95;5769750;550;5
16;Puglia;19540,9;4835695;258;6
17;Basilicata;10073,32;576194;131;2
18;Calabria;15221,9;1947938;409;5
19;Sicilia;25832,39;4999932;390;9
20;Sardegna;24100,02;1640379;377;5
